/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=49, episodic_return=[150.]
global_step=111, episodic_return=[250.]
global_step=166, episodic_return=[150.]
global_step=212, episodic_return=[100.]
global_step=286, episodic_return=[450.]
global_step=350, episodic_return=[350.]
global_step=419, episodic_return=[150.]
global_step=468, episodic_return=[200.]
global_step=548, episodic_return=[300.]
global_step=631, episodic_return=[500.]
global_step=676, episodic_return=[50.]
global_step=735, episodic_return=[250.]
global_step=782, episodic_return=[200.]
global_step=832, episodic_return=[150.]
global_step=886, episodic_return=[250.]
global_step=934, episodic_return=[250.]
global_step=979, episodic_return=[50.]
global_step=1022, episodic_return=[150.]
global_step=1110, episodic_return=[550.]
global_step=1193, episodic_return=[250.]
global_step=1238, episodic_return=[250.]
global_step=1282, episodic_return=[50.]
global_step=1357, episodic_return=[250.]
global_step=1408, episodic_return=[150.]
global_step=1464, episodic_return=[200.]
global_step=1518, episodic_return=[250.]
global_step=1567, episodic_return=[50.]
global_step=1612, episodic_return=[100.]
global_step=1708, episodic_return=[400.]
global_step=1759, episodic_return=[200.]
global_step=1817, episodic_return=[200.]
global_step=1909, episodic_return=[550.]
global_step=1966, episodic_return=[200.]
global_step=2022, episodic_return=[150.]
global_step=2076, episodic_return=[250.]
global_step=2126, episodic_return=[200.]
global_step=2185, episodic_return=[250.]
global_step=2235, episodic_return=[200.]
global_step=2329, episodic_return=[400.]
global_step=2430, episodic_return=[400.]
global_step=2478, episodic_return=[150.]
global_step=2539, episodic_return=[100.]
global_step=2584, episodic_return=[100.]
global_step=2658, episodic_return=[150.]
global_step=2716, episodic_return=[250.]
global_step=2766, episodic_return=[100.]
global_step=2811, episodic_return=[50.]
global_step=2901, episodic_return=[350.]
global_step=2946, episodic_return=[50.]
global_step=2997, episodic_return=[150.]
global_step=3046, episodic_return=[350.]
global_step=3091, episodic_return=[200.]
global_step=3166, episodic_return=[250.]
global_step=3211, episodic_return=[250.]
global_step=3308, episodic_return=[400.]
global_step=3392, episodic_return=[450.]
global_step=3443, episodic_return=[250.]
global_step=3486, episodic_return=[150.]
global_step=3530, episodic_return=[50.]
global_step=3599, episodic_return=[300.]
global_step=3662, episodic_return=[200.]
global_step=3742, episodic_return=[400.]
global_step=3797, episodic_return=[150.]
global_step=3937, episodic_return=[950.]
global_step=4011, episodic_return=[300.]
global_step=4100, episodic_return=[550.]
global_step=4149, episodic_return=[50.]
global_step=4228, episodic_return=[250.]
global_step=4276, episodic_return=[0.]
global_step=4323, episodic_return=[50.]
global_step=4370, episodic_return=[300.]
global_step=4413, episodic_return=[50.]
global_step=4492, episodic_return=[500.]
global_step=4534, episodic_return=[50.]
global_step=4588, episodic_return=[50.]
global_step=4635, episodic_return=[200.]
global_step=4709, episodic_return=[600.]
global_step=4785, episodic_return=[400.]
global_step=4827, episodic_return=[50.]
global_step=4872, episodic_return=[50.]
global_step=4932, episodic_return=[100.]
global_step=4983, episodic_return=[150.]
global_step=5042, episodic_return=[300.]
global_step=5106, episodic_return=[400.]
global_step=5176, episodic_return=[500.]
global_step=5242, episodic_return=[150.]
global_step=5287, episodic_return=[50.]
global_step=5349, episodic_return=[250.]
global_step=5410, episodic_return=[200.]
global_step=5489, episodic_return=[450.]
global_step=5565, episodic_return=[400.]
global_step=5610, episodic_return=[50.]
global_step=5667, episodic_return=[100.]
global_step=5718, episodic_return=[50.]
global_step=5766, episodic_return=[150.]
global_step=5810, episodic_return=[200.]
global_step=5856, episodic_return=[100.]
global_step=5903, episodic_return=[250.]
global_step=5960, episodic_return=[200.]
global_step=6022, episodic_return=[250.]
global_step=6062, episodic_return=[50.]
global_step=6123, episodic_return=[300.]
global_step=6210, episodic_return=[350.]
global_step=6249, episodic_return=[150.]
global_step=6290, episodic_return=[200.]
global_step=6336, episodic_return=[150.]
global_step=6409, episodic_return=[500.]
global_step=6457, episodic_return=[50.]
global_step=6507, episodic_return=[150.]
global_step=6562, episodic_return=[100.]
global_step=6627, episodic_return=[350.]
global_step=6669, episodic_return=[100.]
global_step=6712, episodic_return=[50.]
global_step=6778, episodic_return=[250.]
global_step=6823, episodic_return=[150.]
global_step=6884, episodic_return=[200.]
global_step=6928, episodic_return=[50.]
global_step=6994, episodic_return=[150.]
global_step=7037, episodic_return=[150.]
global_step=7087, episodic_return=[100.]
global_step=7151, episodic_return=[250.]
global_step=7225, episodic_return=[450.]
global_step=7295, episodic_return=[350.]
global_step=7345, episodic_return=[100.]
global_step=7410, episodic_return=[150.]
global_step=7454, episodic_return=[100.]
global_step=7504, episodic_return=[150.]
global_step=7594, episodic_return=[450.]
global_step=7644, episodic_return=[200.]
global_step=7718, episodic_return=[400.]
global_step=7762, episodic_return=[100.]
global_step=7845, episodic_return=[450.]
global_step=7931, episodic_return=[350.]
global_step=7986, episodic_return=[200.]
global_step=8035, episodic_return=[250.]
global_step=8083, episodic_return=[100.]
global_step=8130, episodic_return=[150.]
global_step=8178, episodic_return=[100.]
global_step=8236, episodic_return=[300.]
global_step=8287, episodic_return=[350.]
global_step=8345, episodic_return=[200.]
global_step=8413, episodic_return=[200.]
global_step=8459, episodic_return=[50.]
global_step=8502, episodic_return=[100.]
global_step=8545, episodic_return=[200.]
global_step=8597, episodic_return=[150.]
global_step=8665, episodic_return=[300.]
global_step=8746, episodic_return=[350.]
global_step=8795, episodic_return=[0.]
global_step=8842, episodic_return=[50.]
global_step=8904, episodic_return=[200.]
global_step=8972, episodic_return=[300.]
global_step=9039, episodic_return=[300.]
global_step=9103, episodic_return=[150.]
global_step=9154, episodic_return=[200.]
global_step=9207, episodic_return=[100.]
global_step=9259, episodic_return=[200.]
global_step=9333, episodic_return=[500.]
global_step=9408, episodic_return=[350.]
global_step=9461, episodic_return=[100.]
global_step=9535, episodic_return=[200.]
global_step=9594, episodic_return=[200.]
global_step=9642, episodic_return=[200.]
global_step=9712, episodic_return=[400.]
global_step=9765, episodic_return=[250.]
global_step=9855, episodic_return=[450.]
global_step=9939, episodic_return=[450.]
global_step=9988, episodic_return=[250.]
global_step=10040, episodic_return=[200.]
global_step=10102, episodic_return=[400.]
global_step=10188, episodic_return=[500.]
global_step=10232, episodic_return=[50.]
global_step=10286, episodic_return=[300.]
global_step=10348, episodic_return=[200.]
global_step=10393, episodic_return=[100.]
global_step=10438, episodic_return=[150.]
global_step=10497, episodic_return=[100.]
global_step=10541, episodic_return=[50.]
global_step=10614, episodic_return=[150.]
global_step=10673, episodic_return=[200.]
global_step=10733, episodic_return=[350.]
global_step=10789, episodic_return=[250.]
global_step=10870, episodic_return=[250.]
global_step=10938, episodic_return=[250.]
global_step=10984, episodic_return=[50.]
global_step=11045, episodic_return=[150.]
global_step=11098, episodic_return=[100.]
global_step=11145, episodic_return=[100.]
global_step=11237, episodic_return=[500.]
global_step=11297, episodic_return=[400.]
global_step=11365, episodic_return=[300.]
global_step=11426, episodic_return=[100.]
global_step=11512, episodic_return=[400.]
global_step=11585, episodic_return=[300.]
global_step=11632, episodic_return=[150.]
global_step=11705, episodic_return=[350.]
global_step=11793, episodic_return=[600.]
global_step=11843, episodic_return=[350.]
global_step=11919, episodic_return=[300.]
global_step=11970, episodic_return=[100.]
global_step=12030, episodic_return=[200.]
global_step=12075, episodic_return=[50.]
global_step=12151, episodic_return=[300.]
global_step=12237, episodic_return=[400.]
global_step=12325, episodic_return=[300.]
global_step=12376, episodic_return=[100.]
global_step=12499, episodic_return=[550.]
